NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
287;H;F.1100;604/c;other;Antropomorphic figurine;glass;hand;incised;fragmentary;1;6.1+;;3.8;2+;;;;Glass figurine of a woman.;
288;A west;F.641;128/a;glass conteiner;glass vessel;glass;hand;;fragmentary;1;2;;;;0.9;;;Stem of black glass vessel or glass.;
289;H;F.1112;609/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;5+;;2.4+;;;;;Leg of an animal figurine.;
290;H;F.1100;602/g;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.8+;;2.4+;;;;;Leg of an animal figurine, with harness.;
291;A west;F.2;330/f;clay figurine;Animal figurine;clay;hand;;fragmentary;1;3.7+;3.5+;4.4;;;;;Part of the body and the hind legs of an animal figurine.;
292;B;F.807;330/g;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.7+;2.3+;2+;;;;;Horse head with harness of a figurine.;
293;G;F.1057;536/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;4+;4.1;2.7;;;;;Head of a horse figurine with harness.;
294;H;F.1112;609/b;stone vessel;bowl;granite;hand;;fragmentary;1;4.9;;;;12;;;"Granite bowl; rim 1.5 cm, wall 1.7 cm, bottm 1.7 cm., bottom d. 13. Small bowl with flat rim and bottom and vertical wall.";
295;H;F.1100;604/b;stone tool&weapon;counterweight;basalt;hand;;complete;1;;12.5;10.3;5.8;;1.4;;Donut shaped counterweight of medium grained basalt. Secondary use: pestle and polisher.;
296;G;F.1058;541/a;metal tool&weapon;spear head;iron;hand;;nearly complete;1;;10.5;2.5;0.0;;;;Iron triangular spear head.;
297;G;F.1061;539/a;coin;coin;bronze;moult;;complete;1;;;;0.35;1.8;;5;"Bronze coin. Recto: illegible; verso: illegible figure in the center, greek inscription??.";
298;H;F.1100;613/b;metal tool&weapon;nail;iron;hand;;fragmentary;1;;4.4+;;0.8;;;;Iron nail with square section and nearly circular head.;
299;H;F.1100;613/a;metal tool&weapon;nail;iron;hand;;complete;1;;13;;0.7;;;;Iron nail, with square section and circular head (diameter: 1.8);
300;H;F.1119;613/e;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;10;;;Twisted glass bracelet, with circular section.;
301;G;F.1057;536/;glass conteiner;glass vessel;glass;hand;;fragmentary;1;5.1;;;;16;;;"Green glass bowl. Rim:0.4 cm; wall: 0.5 cm. Two lines incised under the rim.";
302;Lower palace area;;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;2,2 +;2,5 +;2,9 +;;;;;"Body fragment of a clay figurine.5YR8/3; <0.5 mm, <3%.";
303;A west;W.0623;130/a;sculpture;Sculpture;basalt;hand;;fragmentary;1;8+;;10.5+;7.5+;;;;Sculpture fragment of fine grained basalt.;
304;H;F.1119;613/c;stone tool&weapon;sharpener;limestone;hand;;fragmentary;1;10+;14.5+;12+;;;;;Stone sharpener, signs of use on two sides.;
305;A east;F.761;204/a;stone tool&weapon;tool;stone;hand;;fragmentary;1;;15.7+;9.9+;7.2;;;;Tool of gray-red stone, polisher and mortar used.;
306;C;F.958;432/b;stone tool and weapon;bullet;stone;hand;;complete;1;;;;;2.5;;;White stone spherical bullet.;
307;C east;F.966;433/d;sculpture;relief;basalt;hand;;fragmentary;1;50;74;39,5;;;;;Relief fragment of fine grained basalt with part of a demon robe.(IN SITU);
308;G;F.1061;539/a;metal ornament;pin;bronze;hand;;nearly complete;1;;6.9+;;0.3;;;;Bronze pin.;
309;G;F.1061;538/a;coin;coin;bronze;hand;;complete;1;;;;0.5;1.6;;;Bronze coin. Recto and verso illegible.;
